GEOID,STATEFP,COUNTYFP,TRACTCE,Proximity_PCA1,Proximity_PCA2,stnd_Proximity_PCA1,stnd_Proximity_PCA2
37119005403,37,119,5403,0.186122986,-0.828391724,104.6530747,79.2902069
37119005404,37,119,5404,0.57178287,-0.612385425,114.2945718,84.69036438
37119005405,37,119,5405,0.431568862,-0.580770812,110.7892216,85.48072971
37119005406,37,119,5406,0.558933718,-0.619569213,113.9733429,84.51076968
37119005508,37,119,5508,-0.279394229,-1.13705215,93.01514426,71.57369626
37119005510,37,119,5510,0.046902764,-0.87645839,101.1725691,78.08854026
37119005511,37,119,5511,0.29065218,-0.707121121,107.2663045,82.32197196
37119005512,37,119,5512,0.170616383,-0.960399449,104.2654096,75.99001378
37119005513,37,119,5513,-0.055214404,-0.869795939,98.61963991,78.25510152
37119005515,37,119,5515,-0.587781372,-1.333650413,85.30546569,66.65873967
37119005516,37,119,5516,-0.557374803,-1.445807811,86.06562992,63.85480474
37119005517,37,119,5517,-0.561288765,-1.048870278,85.96778088,73.77824304
37119005519,37,119,5519,-0.234696175,-1.15492383,94.13259563,71.12690425
37119005520,37,119,5520,-0.028268043,-0.905106402,99.29329892,77.37233995
37119005522,37,119,5522,0.645299393,-0.358318085,116.1324848,91.04204787
37119005525,37,119,5525,-0.361793485,-1.159604334,90.95516287,71.00989165
37119005526,37,119,5526,-0.469763072,-1.421756925,88.25592321,64.45607687
37119005527,37,119,5527,0.486552902,-0.530098344,112.1638226,86.7475414
37119005528,37,119,5528,0.351055655,-0.530993899,108.7763914,86.72515253
37119005529,37,119,5529,-0.50037412,-1.587412405,87.49064699,60.31468988
37119005530,37,119,5530,0.183674815,-0.89507474,104.5918704,77.6231315
37119005531,37,119,5531,-0.149556116,-1.155213971,96.2610971,71.11965073
37119005532,37,119,5532,0.258270306,-0.548455864,106.4567576,86.28860341
37119005533,37,119,5533,0.636039217,-0.016075003,115.9009804,99.59812494
37119005534,37,119,5534,0.956948,-0.105616183,123.9237,97.35959544
37119005535,37,119,5535,0.416939675,-0.540303117,110.4234919,86.49242207
37119005536,37,119,5536,0.272868439,-0.751542857,106.821711,81.21142857
37119005604,37,119,5604,0.89642675,0.095500545,122.4106688,102.3875136
37119005609,37,119,5609,0.370645403,-0.087825593,109.2661351,97.80436017
37119005610,37,119,5610,0.22935618,-0.534308643,105.7339045,86.64228392
37119005611,37,119,5611,0.037549522,-1.019608329,100.9387381,74.50979176
37119005612,37,119,5612,0.428656675,-0.600269513,110.7164169,84.99326217
37119005613,37,119,5613,0.387655282,-0.667919503,109.6913821,83.30201244
37119005615,37,119,5615,-0.281958234,-0.973233704,92.95104415,75.66915741
37119005616,37,119,5616,-0.19070223,-1.18302252,95.23244425,70.42443699
37119005617,37,119,5617,-0.283009572,-1.17741432,92.9247607,70.56464201
37119005618,37,119,5618,-0.658046519,-1.139013081,83.54883702,71.52467298
37119005619,37,119,5619,-0.490000227,-1.101831956,87.74999432,72.45420111
37119005621,37,119,5621,-1.032245868,-1.269582298,74.1938533,68.26044254
