GEOID,STATEFP,COUNTYFP,TRACTCE,Diversity_PCA1,Diversity_PCA2,stnd_Diversity_PCA1,stnd_Diversity_PCA2
37021001601,37,21,1601,1.203275451,0.768968091,130.0818863,119.2242023
37021001802,37,21,1802,1.05033059,1.732796663,126.2582648,143.3199166
37021001900,37,21,1900,0.259793442,1.745831579,106.4948361,143.6457895
37021002000,37,21,2000,-0.224785683,0.206531471,94.38035793,105.1632868
37021002102,37,21,2102,0.158050268,0.999046807,103.9512567,124.9761702
37021002203,37,21,2203,-0.695265561,1.337148346,82.61836098,133.4287087
37021002205,37,21,2205,1.475807475,0.094731378,136.8951869,102.3682845
37021002303,37,21,2303,1.059304141,1.729578137,126.4826035,143.2394534
37021002503,37,21,2503,0.975907376,0.836567293,124.3976844,120.9141823
37021002505,37,21,2505,1.3335454,0.803094421,133.338635,120.0773605
37021002506,37,21,2506,0.776384641,1.328460059,119.409616,133.2115015
37021002607,37,21,2607,1.308778031,0.552892052,132.7194508,113.8223013
37021003002,37,21,3002,1.480915194,0.816342023,137.0228798,120.4085506
37021003003,37,21,3003,1.36556857,1.230463611,134.1392143,130.7615903
37021003105,37,21,3105,1.877609873,-0.049748904,146.9402468,98.7562774
37021003201,37,21,3201,1.444121446,0.81765842,136.1030361,120.4414605
37023020500,37,23,20500,0.005577474,0.105148377,100.1394369,102.6287094
37023020600,37,23,20600,-0.185567793,0.996323339,95.36080518,124.9080835
37023020801,37,23,20801,1.123551811,0.85407549,128.0887953,121.3518872
37023020802,37,23,20802,1.313698489,0.92407741,132.8424622,123.1019352
37023020902,37,23,20902,0.701583287,1.100723556,117.5395822,127.5180889
37023021100,37,23,21100,1.038361587,0.625047202,125.9590397,115.6261801
37023021301,37,23,21301,0.8327939,0.33497306,120.8198475,108.3743265
37025040501,37,25,40501,0.460894903,-0.617543342,111.5223726,84.56141645
37025040701,37,25,40701,0.743416115,0.192958322,118.5854029,104.8239581
37025040703,37,25,40703,-1.379000579,0.595093489,65.52498553,114.8773372
37025040704,37,25,40704,0.10295675,-1.101844793,102.5739188,72.45388019
37025040705,37,25,40705,0.619023807,-1.732479271,115.4755952,56.68801821
37025040800,37,25,40800,-0.100596724,-1.724209129,97.48508189,56.89477178
37025040900,37,25,40900,0.082000721,0.080832454,102.050018,102.0208113
37025041001,37,25,41001,0.211901335,-0.263629233,105.2975334,93.40926917
37025041002,37,25,41002,-1.045559308,-0.107041061,73.86101731,97.32397348
