GEOID,STATEFP,COUNTYFP,TRACTCE,ParksRec_PerSqMi,TransitStops_PerSqMi,RedlinedAreas_PerSqMi,Brownfields_PerSqMi,Colleges_PerSqMi,MedFacilities_PerSqMi,GroceryStores_PerSqMi,Gas_Stations_PerSqMi,HazWasteFacilit_PerSqMi,Hospitals_PerSqMi,NPDES_PerSqMi,Fire_Stations_PerSqMi,Pharmacies_PerSqMi,Nursing_Homes_PerSqMi,PubLibraries_PerSqMi,PubSchools_PerSqMi,RegUndergStorage_PerSqMi,Jobs_PerSqMi,Pct_Commute_LessThan15Mins,NEAR_REC,NEAR_BRWN,NEAR_HAZ,NEAR_GROC,NEAR_RED,NEAR_MED,NEAR_HOSPITALS,NEAR_LIBRARY,NEAR_INTST,Percent_Impervious,IsoIndex_BW_2020,SimpsonIndex_DivHouseStock,Pct_Pop_hasAccessFiber,Percent_Pop_NoProvider,Interstate_Present,Transit_Route_Indicator,Overall_SelfRespRate,STREETCON
37119002910,37,119,2910,0,0,0,0,0,2.713704206,0,0,0,0,0,0,0,1.356852103,0,0,10.85481683,10500.67843,23.19,0.015710218,0.027918044,0.014928219,0.007007932,0.027783991,0.007191813,0.022876096,0.016724692,0.179241863,49.95269775,0.782870312,0.567609819,76.24424927,0,0,0,66.2,0
37119003006,37,119,3006,0,0,0,0,0,1.736111111,0,0,0,0,0,0,0,0,0,0,0,413.1944444,25.42,0.022325819,0.036704781,0.014506317,0.014906662,0.054066665,0.003085036,0.014263299,0.019555748,0.196828994,38.24062944,0.649184477,0.695274976,96.6965653,0,0,0,81.5,0
37119003008,37,119,3008,0,0,0,0,0,2.541942044,0.508388409,1.016776818,0,0,0,0.508388409,0.508388409,1.016776818,0.508388409,0,2.033553635,1695.983732,21.39,0.022612168,0.051563543,0.014840608,0.014463768,0.088379691,0.001340682,0.026584718,0.018310362,0.231414684,52.13720202,0.480977866,0.595029547,81.29571578,0,0,0,70.9,0
37119003012,37,119,3012,1.173020528,0,0,0,0,1.173020528,0,0,0,0,0,0,0,0.586510264,0,1.759530792,0,399.4134897,19.15,0.02568442,0.039451077,0.020965714,0.011561613,0.079573906,0.008349836,0.012467822,0.019920795,0.226904779,50.51256418,0.456228219,0.609112229,98.37707874,0,0,0,72.8,0
37119003013,37,119,3013,0.848536275,0,0,0,0,0,0.848536275,0,0,0,0,0,0.848536275,0,0,0,3.3941451,319.0496394,21.44,0.006572839,0.077448077,0.02101158,0.014603596,0.083210071,0.005433396,0.044122145,0.023526351,0.201948911,44.85792518,0.666534037,0.275448251,92.22486144,0,0,0,83,0
37119003015,37,119,3015,0,0,0,0,0,1.11049417,0,0,0,0,0,0,0,0,0,0,2.776235425,207.1071627,15.97,0.00941745,0.060278092,0.031622412,0.01575602,0.084288336,0.005101253,0.056667879,0.030331959,0.186532034,33.83877277,0.750938345,0.141545897,73.74228539,0,0,0,87.5,0
37119003016,37,119,3016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372.9543497,16.63,0.019948116,0.058609196,0.020483456,0.012189955,0.097102207,0.009852279,0.054536557,0.017891045,0.200357782,56.81210756,0.576204939,0.742339037,51.75936436,0,0,0,73.3,0
37119003017,37,119,3017,0.768049155,0,0,0,0,3.072196621,0,0,0,0,0,0,0,0,0,0.768049155,1.53609831,244.2396313,15.06,0.010882673,0.078965693,0.017582922,0.010543642,0.094574755,0.001205079,0.052910278,0.021878139,0.218630728,55.10097146,0.617280539,0.355538959,97.36456808,0,0,0,81.9,0
37119003018,37,119,3018,0,0,0,0,0,1.400560224,1.400560224,0,0,0,0,0,0,0,0,0,0,1029.411765,18.27,0.012309826,0.075166985,0.010268919,0.004571266,0.093906716,0.007016485,0.055812285,0.011989863,0.207984197,67.26566553,0.677851822,0.666207766,70.18477921,0,0,0,79.6,0
37119003019,37,119,3019,0.969932105,0,0,0,0,0,0.969932105,0,0.969932105,0,0,0,0.969932105,0,0,0,3.879728419,421.9204656,21.47,0.008596013,0.050056241,0.01865964,0.018284482,0.057151838,0.005156052,0.015409675,0.022516666,0.191410426,32.94392526,0.68006058,0.429240958,87.00698952,0,0,0,82.4,0
37119003020,37,119,3020,0.410509031,0,0,0,0,0.410509031,0,0,0,0,0,0,0,0.410509031,0,0.410509031,4.105090312,279.1461412,10.67,0.018330996,0.056281362,0.007610506,0.006476264,0.075737977,0.018406197,0.033583988,0.040471312,0.210524312,40.3687954,0.848654498,0.168539953,87.00698952,0,0,0,87.9,0
37119003021,37,119,3021,4.962779156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.240694789,1.240694789,1105.459057,28.41,0.020327095,0.030172722,0.01939005,0.015492637,0.063934768,0.010264708,0.014049732,0.032861395,0.211203971,49.97851253,0.6858477,0.717611601,85.02658428,0,0,0,80.8,0
37119003022,37,119,3022,0,0,0,0,0,6.065857886,0.866551127,0.866551127,0.866551127,0,0,0.866551127,0.866551127,1.733102253,0,0,8.665511265,4312.824957,16.87,0.015218337,0.021871557,0.013981753,0.014501109,0.049648542,0.004779663,0.021344667,0.021929199,0.198917577,52.48950124,0.827509542,0.415892096,85.02658428,0,0,0,73.4,0
37119003102,37,119,3102,0.676132522,0,0,0.676132522,0,0,4.732927654,1.352265044,0,0,0.676132522,0,0,1.352265044,0,0.676132522,8.113590264,1056.118999,33.89,0.008291646,0.010954045,0.015401086,0.014027342,0.041839141,0.012001759,0.036405162,0.033536415,0.194821038,55.71793318,0.350377188,0.676141132,87.87301587,0,0,0,64.4,0
37119003105,37,119,3105,0.76394194,0,0,0,0,0.76394194,0,0,0,0.76394194,0,0,0,0,0,0.76394194,3.055767762,242.9335371,24.95,0.004616691,0.013605431,0.01795782,0.016013748,0.059523019,0.008426664,0.014315912,0.036951483,0.211414508,43.60803068,0.76053578,0.514549739,91.87695266,0,0,0,82.7,0
37119003106,37,119,3106,0,0,0,1.158748552,0,0,6.952491309,1.158748552,2.317497103,0,1.158748552,0,1.158748552,0,0,0,12.74623407,1130.938586,15.76,0.010988372,0.004780146,0.006802721,0.006638157,0.054932633,0.009552038,0.029865245,0.043142381,0.207874486,63.41660023,0.527644231,0.634993676,98.73760144,0,0,0,71.2,0
